"PlayerID","Runs","meanReadingTime","firstWin","bestRun","bestScore"
"966FD20C-4B91-526F-8E6F-91BB06ECD47B",1,13.6,1,1,3
"98d713e61b2b219dd2074ed097bfa85323d09703",1,11.5,1,1,3
"9ae7427f2c1f0704b438a589c1449be41e5de021",2,NA,2,2,1
"9c65de83c5a8a520464171b454290330affbdb1f",2,13.55,1,2,3
"9ddde47f13e0808e4e906550981dd6ff6e03da82",1,9.5,1,1,2
"9e439335838ae9113f65fb0179388478fd4855ee",2,18.15,1,2,3
"a530a416ed09e3cf55f6bce7df66206be778013b",1,23.7,1,1,1
"A8B239A3-5CE5-5646-9EBC-526D521AF928",1,7.2,1,1,3
"A916D6EB-BFA0-54E2-9AC9-F7171BA35FDC",1,8.4,1,1,3
"ae15dbcea8cbb70b217a16c021a724da00fa6eed",2,NA,NA,1,0
"b3e63c0753219dc45a3389bff4ca94e00274dc2f",20,6.5632183908046,4,20,3
"b3e93a41f853c717ed11f3d07921076619436523",1,9.7,1,1,1
"b5e46e078ef10ee539312fba7d018c70d310edea",1,11.6666666666667,NA,1,0
"b7d0a5398b30da08eb245016c303a7f7a18d0dc8",3,7.63333333333333,1,3,3
"b829c029b83981a6ce0fe697e719dca1cc8cbf84",1,9.7,1,1,2
"bbc091143d0e70c8602744939f8d1176b6852371",6,5.39285714285714,1,1,3
"be5a5fb21f0e1ba9216e0135dfbe1b6c00387449",2,10.1818181818182,NA,1,0
"bf2f63d0855935a5e02f13869489dd928e7ff9eb",1,2.4,1,1,2
"C100F6BA-1C01-5D83-A0C0-0AB02FB953CA",2,16,1,2,3
"c57cd64e9ff10949501a047a37afb3f1a026e5c5",3,7.33333333333333,1,3,2
"C9287CA1-E32A-543A-AFDE-2FCF53BC2CA7",1,8.6,1,1,3
"cb0c0a6fddc4201ba5278db5b285c52687bc408f",4,10.6666666666667,4,4,3
"cf319869ac2797b4c84d6bd372c56b385b185305",9,5.27631578947368,1,1,3
"cf46564ca8421fe3e03a9d2dae058915606f6fc6",10,15,1,3,3
"cf4710738b1ceeec71810ae2de1fb8062daa7961",17,3.01869158878505,2,2,3
"d02ce22e63909c47252c2d951fec0f0b6f307248",12,5.85454545454545,1,1,3
"D08D1A1C-45D3-54FC-9509-D2D3912CB50D",2,NA,NA,1,0
"d6e91a946af839c0ada13f37490eeeafd8e8db0e",1,11.5,1,1,3
"d9d6daec804f695b60fa0e1123a6071e1a42d846",2,10,2,2,2
"dafd9a61376b4676aa8b190bc1ed4b43",4,4.925,4,3,3
"dbd0666b177c8fa295082687be26a75f94383204",2,9.78571428571429,2,2,3
"dd32f674ba47561f7ac355b070b7c7efc821253a",6,5.43636363636364,1,6,3
"dfc6b39a12686248db961afcbf57d518c7a0e7b0",2,NA,2,2,1
"E1139D19-451F-5A96-A9C8-66B756E7B541",3,7.5,3,3,3
"e1726dcbc25af2012cac009b7a571d7244c67dee",2,NA,NA,1,0
"e4f0295f1109653fdfa0eb78f2b3c9de672f41db",2,4.8,1,2,3
"e8c61f417c8a7a01be775feacd7f4e43b624ab74",7,NA,1,7,3
"e931f9efaa0d10925662d8da383490feb4eca409",1,10.3,1,1,3
"e95e8606941c3de09fdb47adc7dc09d067ed64fc",3,4.91304347826087,2,3,3
"ec043b674f47e65919c294c34c609d7b83c12769",1,NA,1,1,3
